Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
,,,,Alk
,,,,Tmem63c
,,,,Fign
,,,,Kcnt1
,,,,Fam5c
,,,,Neil2
,,,,Cbx8
,,,,Fam19a1
,,,,Tmem56
,,,,Rasl11a
,,,,Ttc12
,,,,Gfod1
,,,,Mn1
,,,,Neurog2
,,,,Klhl1
,,,,BC026585
,,,,Gli1
,,,,St3gal6
,,,,Hoxc9
,,,,A2m
,,,,Pnpla7
,,,,Abcc8
,,,,AC132303.1
,,,,Zfp385b
,,,,Prss23
,,,,Ankrd42
,,,,Cacng5
,,,,Rln3
,,,,Rora
,,,,Kif14
,,,,Gm6937
,,,,Snai3
,,,,Ptx3
,,,,Ror1
,,,,Cntn5
,,,,Acy3
,,,,Cdk18
,,,,Pdlim3
,,,,Gm5468
,,,,Rhox6
,,,,Hand2
,,,,Siah3
,,,,Slc25a29
,,,,Spn
,,,,Pla2g12b
,,,,Grm8
,,,,Rhbdl1
,,,,B3gnt9-ps
,,,,Ano4
,,,,Prdm6
,,,,4930548H24Rik
,,,,Pld6
,,,,Macrod2
,,,,Fam190a
,,,,Rgs8
,,,,Npas3
,,,,Sned1
,,,,Cpn1
,,,,Ptch2
,,,,Kalrn
,,,,Grin2a
,,,,Lrp2
,,,,Lrp4
,,,,Fosb
,,,,Cd44
,,,,Acacb
,,,,Pdlim4
,,,,5730559C18Rik
,,,,H2-Q10
,,,,Shank2
,,,,Dpf3
,,,,Rerg
,,,,Foxj1
,,,,Evc2
,,,,Gtf2ird2
,,,,Epha1
,,,,Ripply1
,,,,Cadps2
,,,,Nek8
,,,,Hnf1b
,,,,Pfkfb1
,,,,D130043K22Rik
,,,,Atf7ip2
,,,,1700029P11Rik
,,,,Lemd1
,,,,Alox5ap
,,,,Rnf217
,,,,Stard8
,,,,D1Pas1
,,,,Tusc1
,,,,Trim12c
,,,,Sidt1
,,,,Tmem63a
,,,,Tbx15
,,,,Lgr5
,,,,Gm14124
,,,,Ptprm
,,,,1810011O10Rik
,,,,Col23a1
,,,,Sdk2
,,,,Slc16a6
,,,,Maf
,,,,Gen1
,,,,Shisa9
,,,,Hrk
,,,,Atp6v0a4
,,,,P2rx7
,,,,Gpr61
,,,,Fhod1
,,,,Sall3
,,,,Atp1a2
,,,,Fam123a
,,,,Slc44a5
,,,,Frmpd4
,,,,Radil
,,,,Grin2b
,,,,Shisa6
,,,,Tesk2
,,,,A930038C07Rik
,,,,Slc43a3
,,,,Prrt4
,,,,Fam43b
,,,,Cttnbp2
,,,,Rasa4
,,,,Tcte1
,,,,Pcdhb10
,,,,Ripk4
,,,,Dmc1
,,,,Notch2
,,,,Zglp1
,,,,Naa11
,,,,Prss50
,,,,Ccdc3
,,,,Tmem54
,,,,Nog
,,,,Rtn4rl2
,,,,Slc4a10
,,,,Mlc1
,,,,Maml3
,,,,Cdh7
,,,,Gfra4
,,,,Prune2
,,,,Cep72
,,,,Grik1
,,,,Cntn6
,,,,Lmo2
,,,,Mettl7a1
,,,,Trpc1
,,,,Mast4
,,,,Gprc5c
,,,,Ppp4r4
,,,,Camkv
,,,,Amn
,,,,Uggt2
,,,,Ribc1
,,,,Car13
,,,,Pde2a
,,,,Kcnk10
,,,,Rab43
,,,,Vill
,,,,Olig3
,,,,Tnnt1
,,,,Hmha1
,,,,Gm12258
,,,,Lrfn2
,,,,Gpr3
,,,,Pag1
,,,,Cpne4
,,,,Angptl6
,,,,Rab25
,,,,Ccdc163
,,,,Slc6a11
,,,,Mgll
,,,,Epha6
,,,,Bdh2
,,,,Bgn
,,,,Fmnl1
,,,,Cdh9
,,,,Rgl1
,,,,Inpp4b
,,,,Aspn
,,,,Pcdhb6
,,,,Med12l
,,,,Slc16a7
,,,,Gpr173
,,,,5031425E22Rik
,,,,Cd59a
,,,,Gstm6
,,,,Adrbk2
,,,,Luzp2
,,,,Bcan
,,,,Dtx3l
,,,,Wscd2
,,,,Ppapdc1a
,,,,Myh14
,,,,Ammecr1
,,,,Sorcs1
,,,,Pfkfb4
,,,,Gm5113
,,,,Nr4a2
,,,,Bicc1
,,,,Unc5b
,,,,Guca1a
,,,,Gabra4
,,,,Kcna4
,,,,Klhl29
,,,,Adck3
,,,,Gpr50
,,,,Mecom
,,,,Inf2
,,,,Hoxd9
,,,,BC021614
,,,,Ikzf4
,,,,Lat
,,,,S100a16
,,,,Tmem108
,,,,Acss1
,,,,Usp44
,,,,Des
,,,,Htr1b
,,,,Tor3a
,,,,Scarf2
,,,,Mlf1
,,,,F2
,,,,Tm6sf1
,,,,Myo16
,,,,Fibcd1
,,,,Grhl3
,,,,Zfyve28
,,,,Nkain2
,,,,Utp14b
,,,,5430405G05Rik
,,,,Ttll11
,,,,AF064781
,,,,En1
,,,,Cux2
,,,,Zbtb32
,,,,Gramd3
,,,,Cnksr3
,,,,Sertad3
,,,,Stk10
,,,,Cdh22
,,,,Zfp345
,,,,Ppp1r13l
,,,,Gm9805
,,,,1700007E06Rik
