Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
,,,,Smc4
,,,,Prc1
,,,,Hn1l
,,,,Ncam1
,,,,Csdc2
,,,,Ppic
,,,,AL844854.1
,,,,Hoxb2
,,,,Syt4
,,,,Smarcc2
,,,,Rasl10b
,,,,2810417H13Rik
,,,,Atp1b2
,,,,Gm13225
,,,,Gm10093
,,,,Mex3a
,,,,Lgi2
,,,,Tgif1
,,,,Spint2
,,,,Ddit3
,,,,Dbf4
,,,,Ppp3ca
,,,,Lsm2
,,,,Samd14
,,,,Rhob
,,,,Trp53inp2
,,,,Rap1gds1
,,,,Tmem132a
,,,,2810025M15Rik
,,,,Cad
,,,,Adam10
,,,,Ppp2r5b
,,,,Dppa4
,,,,Psrc1
,,,,Tubb6
,,,,Kctd13
,,,,Socs3
,,,,Ids
,,,,L1cam
,,,,Col18a1
,,,,Mapk8ip2
,,,,Bub1b
,,,,Cdk5r2
,,,,Lbr
,,,,Bend6
,,,,Exosc5
,,,,Ppp1r9b
,,,,Dtx4
,,,,Aldh9a1
,,,,Adap1
,,,,Camk2g
,,,,Kif3a
,,,,Pid1
,,,,Flna
,,,,Gm1673
,,,,Clasp2
,,,,Slc12a5
,,,,Penk
,,,,Ncapd2
,,,,Rfc5
,,,,2900011O08Rik
,,,,Rap1gap
,,,,Cadm3
,,,,Pdk1
,,,,Phf21b
,,,,Gm7325
,,,,Scg3
,,,,Rrm1
,,,,Ppan
,,,,Timp2
,,,,Tubb4
,,,,AC142104.2
,,,,Lbh
,,,,Mtap6
,,,,Pbx1
,,,,Dnmt3b
,,,,Zfp57
,,,,Tspyl2
,,,,Kif20a
,,,,2700081O15Rik
,,,,Trap1a
,,,,Rragb
,,,,Mtap7d2
,,,,Shmt1
,,,,Cdca8
,,,,Anp32e
,,,,Apobec3
,,,,F3
,,,,Cenpa
,,,,Ier2
,,,,Ccna2
,,,,Ezr
,,,,Gng5
,,,,Hells
,,,,Sox11
,,,,Trim32
,,,,Rcan2
,,,,Sh3gl2
,,,,Bnip3
,,,,Abat
,,,,Incenp
,,,,Syt1
,,,,Tpd52
,,,,Fxyd7
,,,,Ttc9b
,,,,Hp1bp3
,,,,Plk1
,,,,Chd3
,,,,Meis2
,,,,Prmt2
,,,,Serpine2
,,,,Aurka
,,,,Fhl1
,,,,Cyfip2
,,,,Siva1
,,,,Sez6l2
,,,,Nlgn2
,,,,Atic
,,,,Rpa2
,,,,B3gat3
,,,,Slc7a7
,,,,Rcc1
,,,,Plekhb2
,,,,Sdc3
,,,,Ppp2r2c
,,,,Anxa2
,,,,Mapk8ip3
,,,,Tuba1c
,,,,Dynlt3
,,,,Rps3a
,,,,Metrn
,,,,Nudcd2
,,,,Uck2
,,,,Cdt1
,,,,Spryd3
,,,,Ctxn1
,,,,Cnih2
,,,,Otx2
,,,,Serpini1
,,,,Gkn2
,,,,Ccnf
,,,,Cdca7
,,,,Brsk1
,,,,Rnf208
,,,,Fam100b
,,,,Dlg4
,,,,Ifitm1
,,,,H2afy2
,,,,Bscl2
,,,,Fam115a
,,,,Fnbp1l
,,,,Itfg1
,,,,Tead2
,,,,Rufy3
,,,,Elavl3
,,,,H2afv
,,,,Sparcl1
,,,,Top2b
,,,,Usp28
,,,,Mab21l2
,,,,Ass1
,,,,Ttyh3
,,,,Eif4ebp2
,,,,Gtse1
,,,,Pnkd
,,,,Pim3
,,,,Id4
,,,,Vgf
,,,,Tmx4
,,,,Dtx3
,,,,Scg5
,,,,Mycn
,,,,Cltb
,,,,Rps8
,,,,Cadps
,,,,Ddit4
,,,,Ccnb2
,,,,Grin1
,,,,Slc16a3
,,,,Hk1
,,,,Ctbp2
,,,,Cox6b2
,,,,Trp53i11
,,,,Dkc1
,,,,Sycp3
,,,,Mapk9
,,,,Snrnp40
,,,,Rpl7a
,,,,Pea15a
,,,,Rbpms
,,,,Ptprn
,,,,Dnmt3l
,,,,5730403B10Rik
,,,,Fam134a
,,,,Tmem30a
,,,,Rgmb
,,,,Ddx18
,,,,Epcam
,,,,Ache
,,,,Brp44l
,,,,4931428F04Rik
,,,,Plagl1
,,,,Mad2l1
,,,,Klc2
,,,,Traf4
,,,,Mtap1a
,,,,Lynx1
,,,,Carhsp1
,,,,Galk1
,,,,Jarid2
,,,,Hmga2
,,,,Reep1
,,,,Celf4
,,,,Ppil1
,,,,Aaas
,,,,Glrb
,,,,Mcm4
,,,,Npcd
,,,,Cd9
,,,,Wdr5
,,,,Mtvr2
,,,,Zfp534
,,,,Igfbpl1
,,,,Scamp5
,,,,Epb4.1l3
,,,,S100a11
,,,,Rnd2
,,,,Napb
,,,,Scrt2
,,,,Pitpna
,,,,Ube2ql1
,,,,Podxl2
,,,,Col1a1
,,,,Rrp9
,,,,Mt3
,,,,Camk2b
,,,,Pcsk1n
,,,,Mthfd1
,,,,Lima1
,,,,Sgk1
,,,,Cntn1
,,,,Hdac11
,,,,Isyna1
,,,,Fstl1
,,,,Ddx21
,,,,Esrrb
,,,,Nid2
,,,,Gabbr1
,,,,Ak2
,,,,Pttg1
,,,,Aqp8
,,,,Hoxb6
,,,,Alg2
,,,,Magee1
,,,,Rcc2
,,,,BC005764
,,,,Fcf1
,,,,Cdh1
,,,,Midn
,,,,Msh2
,,,,Actl6a
,,,,Gpc2
,,,,Cadm4
,,,,Atxn7l3b
,,,,Hist3h2ba
,,,,Tagln2
,,,,Rnf157
,,,,Emb
,,,,Gldc
,,,,Vat1l
,,,,Lyar
,,,,Nanog
,,,,Nop58
,,,,Birc5
,,,,Olfm1
,,,,Lgals1
,,,,Nkain1
,,,,Rell2
,,,,Slc29a1
,,,,Camk2n2
,,,,Tppp3
,,,,Enpp5
,,,,Tmem59l
,,,,Ndrg3
,,,,Dek
,,,,Abhd8
,,,,Nefh
,,,,Necap1
,,,,Clstn3
,,,,Gm10736
,,,,Cxx1b
,,,,Clic1
,,,,Chgb
,,,,Rundc3a
,,,,Cbr3
,,,,Snap91
,,,,Gng2
,,,,Mapk8ip1
,,,,Prepl
,,,,Npdc1
,,,,Hprt
,,,,Ypel3
,,,,Ctnna1
,,,,Pdpn
,,,,Dner
,,,,Ahi1
,,,,Syn1
,,,,Resp18
,,,,Bst2
,,,,Rpa1
,,,,Apbb1
,,,,Scn1b
,,,,Robo3
,,,,Pbx3
,,,,Spock2
,,,,Mcm2
,,,,Nt5dc2
,,,,Clip3
,,,,Fez1
,,,,Fam60a
,,,,Idh3a
,,,,Sst
,,,,Cks1b
,,,,Hoxb8
,,,,Tipin
,,,,Csrp2
,,,,Prnp
,,,,Podxl
,,,,Dcaf7
,,,,Sox2
,,,,Rpl29
,,,,Atp9a
,,,,AL929166.1
,,,,Thy1
,,,,Rac3
,,,,Thra
,,,,Gm10139
,,,,Dcx
,,,,Lmnb1
,,,,Srgn
,,,,Kif5c
,,,,Dpysl4
,,,,Pkia
,,,,Id3
,,,,Tex19.1
,,,,Gpc3
,,,,Itm2a
,,,,Selm
,,,,5-Sep
,,,,Mcm6
,,,,Prkar1b
,,,,Syt11
,,,,Uhrf1
,,,,Zcchc18
,,,,Npm3
,,,,Dpy30
,,,,Vamp1
,,,,Ruvbl2
,,,,Kif1a
,,,,Stx1b
,,,,Gm13235
,,,,Dtymk
,,,,Ncdn
,,,,Atp6v1g2
,,,,Rps18-ps3
,,,,Pld3
,,,,Dpysl5
,,,,Atp6ap1
,,,,Actn4
,,,,Maged2
,,,,Rnf14
,,,,Txnrd1
,,,,Atp6v0a1
,,,,Etv5
,,,,1810009A15Rik
,,,,Prkacb
,,,,Bex4
,,,,Wdr6
,,,,AC102876.1
,,,,Map1lc3b
,,,,Msh6
,,,,Dos
,,,,Mcm5
,,,,Map1lc3a
,,,,Ifitm3
,,,,L1td1
,,,,Ckmt1
,,,,Phc1
,,,,Tpm4
,,,,Hmga1-rs1
,,,,3-Sep
,,,,Gaa
,,,,Ddx39
,,,,Rnd3
,,,,Syngr3
,,,,Gprasp2
,,,,Mcm3
,,,,Syngr1
,,,,Tusc3
,,,,Cdc20
,,,,2610036A22Rik
,,,,Oxct1
,,,,Sox4
,,,,Gnao1
,,,,Snx5
,,,,Pja2
,,,,Aldoc
,,,,Sbk1
,,,,Mtap1b
,,,,Nsg2
,,,,Rab6b
,,,,Trp53
,,,,Gart
,,,,Mtap2
,,,,Ccnb1
,,,,Ddah2
,,,,Ly6h
,,,,Gng3
,,,,Dbn1
,,,,Reep5
,,,,Taldo1
,,,,Chga
,,,,Acta2
,,,,Rbpms2
,,,,Parp1
,,,,Lama1
,,,,Mybbp1a
,,,,Scg2
,,,,Gm10324
,,,,Ptbp1
,,,,Dnm1
,,,,Top2a
,,,,Klc1
,,,,H2afx
,,,,Ndn
,,,,Mybl2
,,,,Csda
,,,,Dut
,,,,Snhg11
,,,,Sv2a
,,,,Tagln3
,,,,Tspyl4
,,,,Fn1
,,,,Sult4a1
,,,,Atp6v0e2
,,,,Ccne1
,,,,Tuba4a
,,,,Nsf
,,,,Kif5a
,,,,Col1a2
,,,,Mcm7
,,,,Apoe
,,,,Cnn3
,,,,Cend1
,,,,Marcks
,,,,Pga5
,,,,Igfbp4
,,,,Spp1
,,,,Cks2
,,,,Rrm2
,,,,Tmem66
,,,,S100g
,,,,Gpm6a
,,,,Acot7
,,,,Cmah
,,,,Crabp1
,,,,Dctpp1
,,,,Hmgn1
,,,,Lamb1
,,,,Kcnk9
,,,,Hmga1
,,,,Pmm1
,,,,Ube2c
,,,,Gprasp1
,,,,Cyp26a1
,,,,Rtn1
,,,,Hoxb9
,,,,Slc2a3
,,,,Chchd10
,,,,Rtn3
,,,,Col4a2
,,,,Aplp1
,,,,Gdi1
,,,,Lamc1
,,,,Peg3
,,,,Eif4ebp1
,,,,Inpp5f
,,,,Slc22a17
,,,,Nhp2
,,,,Nap1l5
,,,,Ifitm2
,,,,Tdh
,,,,Serinc1
,,,,Upp1
,,,,Rps20
,,,,Gsta4
,,,,Stmn4
,,,,Prdx1
,,,,Ttc3
,,,,Hap1
,,,,Ptn
,,,,Slc2a1
,,,,Hspb1
,,,,Prkar1a
,,,,Grina
,,,,Impdh2
,,,,Zfp42
,,,,Sepw1
,,,,Mest
,,,,Igfbp2
,,,,Ncl
,,,,Anp32b
,,,,Trh
,,,,Stxbp1
,,,,Hat1
,,,,Bex1
,,,,Banf1
,,,,Pfn2
,,,,Mapt
,,,,Utf1
,,,,Gabarapl1
,,,,Txnip
,,,,Cdk4
,,,,Tspan7
,,,,Dynll2
,,,,Kpna2
,,,,Bex2
,,,,Pcna
,,,,Rps4y2
,,,,Nasp
,,,,Ckb
,,,,Calm1
,,,,Maged1
,,,,Ina
,,,,Fabp7
,,,,Eno2
,,,,Crmp1
,,,,Serpinh1
,,,,Impact
,,,,Mllt11
,,,,Rpl18
,,,,Hmgb2
,,,,Hnrnpf
,,,,Cpe
,,,,Eno1
,,,,Tdgf1
,,,,Rps27l
,,,,Nsg1
,,,,D0H4S114
,,,,Rps12
,,,,Tubb2a
,,,,Mt1
,,,,Nefl
,,,,Mt2
,,,,Snap47
,,,,Cdkn1c
,,,,Ube2s
,,,,App
,,,,Col4a1
,,,,Cplx1
,,,,Vamp2
,,,,Trim28
,,,,Gm8730
,,,,Cd24a
,,,,Dpysl3
,,,,Rplp0
,,,,Rab3a
,,,,Atp6v1b2
,,,,Syp
,,,,Odc1
,,,,Set
,,,,Rps2
,,,,Vim
,,,,Igfbp5
,,,,Snrpg
,,,,Rpl7
,,,,Clu
,,,,Gm5506
,,,,Mdk
,,,,Dlk1
,,,,Snap25
,,,,Col3a1
,,,,Mdh1
,,,,AL593857.1
,,,,Pou5f1
,,,,Uchl1
,,,,Slc25a4
,,,,Gap43
,,,,Basp1
,,,,Zwint
,,,,Stmn2
,,,,Ybx1
,,,,Stmn3
,,,,Pgk1
,,,,Atp1b1
,,,,Rpl22
,,,,Ndrg4
,,,,Snrpn
,,,,Ldha
,,,,Tubb3
,,,,Atp1a3
,,,,Rpl3
,,,,Nnat
,,,,Mif
,,,,Tubb2b
,,,,Sparc
,,,,Hnrnpa1
,,,,Aldoa
,,,,Gm13051
,,,,Eef1g
,,,,Pabpc1
,,,,Rpl10a
,,,,Stmn1
,,,,Rpl28
,,,,Rpl5
,,,,Rps9
,,,,Rps5
,,,,Rps4x
,,,,Rps16
,,,,Gnb2l1
,,,,Rps26
,,,,Npm1
,,,,Rps11
,,,,Dppa5a
,,,,Igf2
,,,,Rpl32
,,,,Rpl8
,,,,Ptma
,,,,Tuba1a
,,,,Eef1a1
